Year,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Rainfall_mm
2010,Chhattisgarh,Durg,rice,777920,1695.77,42.39425,20.34924,37.30694,25,80,6.5,1200
2010,Chhattisgarh,Durg,maize,3170,1457.32,39.34764,17.48784,24.77444,22,70,6,800
2010,Chhattisgarh,Durg,chickpea,184260,948.89,17.08002,9.4889,17.08002,20,60,6.5,600
2011,Chhattisgarh,Durg,rice,806550,1756.23,43.90575,21.07476,38.63706,25,80,6.5,1200
2011,Chhattisgarh,Durg,maize,3630,1285.56,34.71012,15.42672,21.85452,22,70,6,800
2011,Chhattisgarh,Durg,chickpea,196270,1008.49,18.15282,10.0849,18.15282,20,60,6.5,600
2011,Chhattisgarh,Durg,cotton,80,250,6.75,3,6.75,28,65,6,700
2012,Chhattisgarh,Durg,rice,807070,1900.97,47.52425,22.81164,41.82134,25,80,6.5,1200
2012,Chhattisgarh,Durg,maize,3120,1538.56,41.54112,18.46272,26.15552,22,70,6,800
2012,Chhattisgarh,Durg,chickpea,208600,1130.97,20.35746,11.3097,20.35746,20,60,6.5,600
2012,Chhattisgarh,Durg,cotton,130,153.85,4.15395,1.8462,4.15395,28,65,6,700
2013,Chhattisgarh,Durg,rice,819440,1581.86,39.5465,18.98232,34.80092,25,80,6.5,1200
2013,Chhattisgarh,Durg,maize,3640,1742.2,47.0394,20.9064,29.6174,22,70,6,800
2013,Chhattisgarh,Durg,chickpea,229990,756.19,13.61142,7.5619,13.61142,20,60,6.5,600
2013,Chhattisgarh,Durg,cotton,50,200,5.4,2.4,5.4,28,65,6,700
2014,Chhattisgarh,Durg,rice,834870,1729.89,43.24725,20.75868,38.05758,25,80,6.5,1200
2014,Chhattisgarh,Durg,maize,4020,1451.66,39.19482,17.41992,24.67822,22,70,6,800
2014,Chhattisgarh,Durg,chickpea,228750,1056.09,19.00962,10.5609,19.00962,20,60,6.5,600
2014,Chhattisgarh,Durg,cotton,50,400,10.8,4.8,10.8,28,65,6,700
2015,Chhattisgarh,Durg,rice,817680,1076.95,26.92375,12.9234,23.6929,25,80,6.5,1200
2015,Chhattisgarh,Durg,maize,9870,1467.17,39.61359,17.60604,24.94189,22,70,6,800
2015,Chhattisgarh,Durg,chickpea,220270,754.73,13.58514,7.5473,13.58514,20,60,6.5,600
2015,Chhattisgarh,Durg,cotton,50,200,5.4,2.4,5.4,28,65,6,700
2016,Chhattisgarh,Durg,rice,858910,2085.96,52.149,25.03152,45.89112,25,80,6.5,1200
2016,Chhattisgarh,Durg,maize,7950,2028.48,54.76896,24.34176,34.48416,22,70,6,800
2016,Chhattisgarh,Durg,chickpea,227240,1161.83,20.91294,11.6183,20.91294,20,60,6.5,600
2016,Chhattisgarh,Durg,cotton,60,317.81,8.58087,3.81372,8.58087,28,65,6,700
2017,Chhattisgarh,Durg,rice,841130,1168.92,29.223,14.02704,25.71624,25,80,6.5,1200
2017,Chhattisgarh,Durg,maize,9250,1956.03,52.81281,23.47236,33.25251,22,70,6,800
2017,Chhattisgarh,Durg,chickpea,258460,1003.82,18.06876,10.0382,18.06876,20,60,6.5,600
2017,Chhattisgarh,Durg,cotton,450,297.85,8.04195,3.5742,8.04195,28,65,6,700
1966,Chhattisgarh,Bastar,rice,406000,642.86,16.0715,7.71432,14.14292,25,80,6.5,1200
1966,Chhattisgarh,Bastar,maize,23000,1347.83,36.39141,16.17396,22.91311,22,70,6,800
1966,Chhattisgarh,Bastar,chickpea,1900,263.16,4.73688,2.6316,4.73688,20,60,6.5,600
1967,Chhattisgarh,Bastar,rice,414000,770.53,19.26325,9.24636,16.95166,25,80,6.5,1200
1967,Chhattisgarh,Bastar,maize,24000,1416.67,38.25009,17.00004,24.08339,22,70,6,800
1967,Chhattisgarh,Bastar,chickpea,2000,500,9,5,9,20,60,6.5,600
1968,Chhattisgarh,Bastar,rice,423200,694.71,17.36775,8.33652,15.28362,25,80,6.5,1200
1968,Chhattisgarh,Bastar,maize,24700,971.66,26.23482,11.65992,16.51822,22,70,6,800
1968,Chhattisgarh,Bastar,chickpea,2500,400,7.2,4,7.2,20,60,6.5,600
1969,Chhattisgarh,Bastar,rice,429100,766.72,19.168,9.20064,16.86784,25,80,6.5,1200
1969,Chhattisgarh,Bastar,maize,25100,996.02,26.89254,11.95224,16.93234,22,70,6,800
1969,Chhattisgarh,Bastar,chickpea,2400,375,6.75,3.75,6.75,20,60,6.5,600
1970,Chhattisgarh,Bastar,rice,437700,723.78,18.0945,8.68536,15.92316,25,80,6.5,1200
1970,Chhattisgarh,Bastar,maize,25400,1421.26,38.37402,17.05512,24.16142,22,70,6,800
1970,Chhattisgarh,Bastar,chickpea,2200,363.64,6.54552,3.6364,6.54552,20,60,6.5,600
1971,Chhattisgarh,Bastar,rice,445600,822.71,20.56775,9.87252,18.09962,25,80,6.5,1200
1971,Chhattisgarh,Bastar,maize,26800,1309.7,35.3619,15.7164,22.2649,22,70,6,800
1971,Chhattisgarh,Bastar,chickpea,2300,434.78,7.82604,4.3478,7.82604,20,60,6.5,600
1972,Chhattisgarh,Bastar,rice,443100,645,16.125,7.74,14.19,25,80,6.5,1200
1972,Chhattisgarh,Bastar,maize,26800,1384.33,37.37691,16.61196,23.53361,22,70,6,800
1972,Chhattisgarh,Bastar,chickpea,2000,350,6.3,3.5,6.3,20,60,6.5,600
1973,Chhattisgarh,Bastar,rice,450500,808.66,20.2165,9.70392,17.79052,25,80,6.5,1200
1973,Chhattisgarh,Bastar,maize,27400,1437.96,38.82492,17.25552,24.44532,22,70,6,800
1973,Chhattisgarh,Bastar,chickpea,2100,428.57,7.71426,4.2857,7.71426,20,60,6.5,600
1974,Chhattisgarh,Bastar,rice,451600,670.73,16.76825,8.04876,14.75606,25,80,6.5,1200
1974,Chhattisgarh,Bastar,maize,28200,1226.95,33.12765,14.7234,20.85815,22,70,6,800
1974,Chhattisgarh,Bastar,chickpea,1600,312.5,5.625,3.125,5.625,20,60,6.5,600
1975,Chhattisgarh,Bastar,rice,458300,890.03,22.25075,10.68036,19.58066,25,80,6.5,1200
1975,Chhattisgarh,Bastar,maize,29400,1183.67,31.95909,14.20404,20.12239,22,70,6,800
1975,Chhattisgarh,Bastar,chickpea,2100,380.95,6.8571,3.8095,6.8571,20,60,6.5,600
1976,Chhattisgarh,Bastar,rice,459600,644.26,16.1065,7.73112,14.17372,25,80,6.5,1200
1976,Chhattisgarh,Bastar,maize,28700,1135.89,30.66903,13.63068,19.31013,22,70,6,800
1976,Chhattisgarh,Bastar,chickpea,1400,285.71,5.14278,2.8571,5.14278,20,60,6.5,600
1977,Chhattisgarh,Bastar,rice,473400,909.17,22.72925,10.91004,20.00174,25,80,6.5,1200
1977,Chhattisgarh,Bastar,maize,29300,996.59,26.90793,11.95908,16.94203,22,70,6,800
1977,Chhattisgarh,Bastar,chickpea,2000,350,6.3,3.5,6.3,20,60,6.5,600
1978,Chhattisgarh,Bastar,rice,490400,820.15,20.50375,9.8418,18.0433,25,80,6.5,1200
1978,Chhattisgarh,Bastar,maize,27600,1094.2,29.5434,13.1304,18.6014,22,70,6,800
1978,Chhattisgarh,Bastar,chickpea,1700,352.94,6.35292,3.5294,6.35292,20,60,6.5,600
1979,Chhattisgarh,Bastar,rice,497500,621.51,15.53775,7.45812,13.67322,25,80,6.5,1200
1979,Chhattisgarh,Bastar,maize,27000,1459.26,39.40002,17.51112,24.80742,22,70,6,800
1979,Chhattisgarh,Bastar,chickpea,2100,285.71,5.14278,2.8571,5.14278,20,60,6.5,600
1980,Chhattisgarh,Bastar,rice,519400,754.33,18.85825,9.05196,16.59526,25,80,6.5,1200
1980,Chhattisgarh,Bastar,maize,28000,1082.14,29.21778,12.98568,18.39638,22,70,6,800
1980,Chhattisgarh,Bastar,chickpea,1800,333.33,5.99994,3.3333,5.99994,20,60,6.5,600
1981,Chhattisgarh,Bastar,rice,523500,743.65,18.59125,8.9238,16.3603,25,80,6.5,1200
1981,Chhattisgarh,Bastar,maize,27000,1088.89,29.40003,13.06668,18.51113,22,70,6,800
1981,Chhattisgarh,Bastar,chickpea,2000,400,7.2,4,7.2,20,60,6.5,600
1982,Chhattisgarh,Bastar,rice,527700,705.7,17.6425,8.4684,15.5254,25,80,6.5,1200
1982,Chhattisgarh,Bastar,maize,28000,1310.71,35.38917,15.72852,22.28207,22,70,6,800
1982,Chhattisgarh,Bastar,chickpea,2300,434.78,7.82604,4.3478,7.82604,20,60,6.5,600
1983,Chhattisgarh,Bastar,rice,538000,758.36,18.959,9.10032,16.68392,25,80,6.5,1200
1983,Chhattisgarh,Bastar,maize,29000,1344.83,36.31041,16.13796,22.86211,22,70,6,800
1983,Chhattisgarh,Bastar,chickpea,2200,409.09,7.36362,4.0909,7.36362,20,60,6.5,600
1984,Chhattisgarh,Bastar,rice,533400,741.66,18.5415,8.89992,16.31652,25,80,6.5,1200
1984,Chhattisgarh,Bastar,maize,28800,1486.11,40.12497,17.83332,25.26387,22,70,6,800
1984,Chhattisgarh,Bastar,chickpea,2400,416.67,7.50006,4.1667,7.50006,20,60,6.5,600
1985,Chhattisgarh,Bastar,rice,555400,1502.16,37.554,18.02592,33.04752,25,80,6.5,1200
1985,Chhattisgarh,Bastar,maize,28700,1128.92,30.48084,13.54704,19.19164,22,70,6,800
1985,Chhattisgarh,Bastar,chickpea,2300,434.78,7.82604,4.3478,7.82604,20,60,6.5,600
1986,Chhattisgarh,Bastar,rice,556000,724.82,18.1205,8.69784,15.94604,25,80,6.5,1200
1986,Chhattisgarh,Bastar,maize,28000,1214.29,32.78583,14.57148,20.64293,22,70,6,800
1986,Chhattisgarh,Bastar,chickpea,3000,333.33,5.99994,3.3333,5.99994,20,60,6.5,600
1987,Chhattisgarh,Bastar,rice,555000,688.29,17.20725,8.25948,15.14238,25,80,6.5,1200
1987,Chhattisgarh,Bastar,maize,28000,1214.29,32.78583,14.57148,20.64293,22,70,6,800
1987,Chhattisgarh,Bastar,chickpea,3000,333.33,5.99994,3.3333,5.99994,20,60,6.5,600
1988,Chhattisgarh,Bastar,rice,572800,965.78,24.1445,11.58936,21.24716,25,80,6.5,1200
1988,Chhattisgarh,Bastar,maize,28600,1430.07,38.61189,17.16084,24.31119,22,70,6,800
1988,Chhattisgarh,Bastar,chickpea,2700,407.41,7.33338,4.0741,7.33338,20,60,6.5,600
1989,Chhattisgarh,Bastar,rice,571700,952.77,23.81925,11.43324,20.96094,25,80,6.5,1200
1989,Chhattisgarh,Bastar,maize,28400,1926.06,52.00362,23.11272,32.74302,22,70,6,800
1989,Chhattisgarh,Bastar,chickpea,2400,416.67,7.50006,4.1667,7.50006,20,60,6.5,600
1990,Chhattisgarh,Bastar,rice,579000,970.47,24.26175,11.64564,21.35034,25,80,6.5,1200
1990,Chhattisgarh,Bastar,maize,27500,1476.36,39.86172,17.71632,25.09812,22,70,6,800
1990,Chhattisgarh,Bastar,chickpea,1900,473.68,8.52624,4.7368,8.52624,20,60,6.5,600
1991,Chhattisgarh,Bastar,rice,582300,1072.13,26.80325,12.86556,23.58686,25,80,6.5,1200
1991,Chhattisgarh,Bastar,maize,27500,1483.64,40.05828,17.80368,25.22188,22,70,6,800
1991,Chhattisgarh,Bastar,chickpea,1700,588.24,10.58832,5.8824,10.58832,20,60,6.5,600
1992,Chhattisgarh,Bastar,rice,584400,912.56,22.814,10.95072,20.07632,25,80,6.5,1200
1992,Chhattisgarh,Bastar,maize,27500,1683.64,45.45828,20.20368,28.62188,22,70,6,800
1992,Chhattisgarh,Bastar,chickpea,1700,470.59,8.47062,4.7059,8.47062,20,60,6.5,600
1993,Chhattisgarh,Bastar,rice,605300,997.36,24.934,11.96832,21.94192,25,80,6.5,1200
1993,Chhattisgarh,Bastar,maize,27200,1613.97,43.57719,19.36764,27.43749,22,70,6,800
1993,Chhattisgarh,Bastar,chickpea,2000,550,9.9,5.5,9.9,20,60,6.5,600
1994,Chhattisgarh,Bastar,rice,609900,990.33,24.75825,11.88396,21.78726,25,80,6.5,1200
1994,Chhattisgarh,Bastar,maize,25500,1262.75,34.09425,15.153,21.46675,22,70,6,800
1994,Chhattisgarh,Bastar,chickpea,1900,631.58,11.36844,6.3158,11.36844,20,60,6.5,600
1995,Chhattisgarh,Bastar,rice,619000,951.7,23.7925,11.4204,20.9374,25,80,6.5,1200
1995,Chhattisgarh,Bastar,maize,24700,1684.21,45.47367,20.21052,28.63157,22,70,6,800
1995,Chhattisgarh,Bastar,chickpea,2000,550,9.9,5.5,9.9,20,60,6.5,600
1996,Chhattisgarh,Bastar,rice,644100,1040.99,26.02475,12.49188,22.90178,25,80,6.5,1200
1996,Chhattisgarh,Bastar,maize,24400,1586.07,42.82389,19.03284,26.96319,22,70,6,800
1996,Chhattisgarh,Bastar,chickpea,2000,600,10.8,6,10.8,20,60,6.5,600
1997,Chhattisgarh,Bastar,rice,622800,730.57,18.26425,8.76684,16.07254,25,80,6.5,1200
1997,Chhattisgarh,Bastar,maize,24500,1391.84,37.57968,16.70208,23.66128,22,70,6,800
1997,Chhattisgarh,Bastar,chickpea,1400,642.86,11.57148,6.4286,11.57148,20,60,6.5,600
1998,Chhattisgarh,Bastar,rice,627100,908.63,22.71575,10.90356,19.98986,25,80,6.5,1200
1998,Chhattisgarh,Bastar,maize,37100,1531,41.337,18.372,26.027,22,70,6,800
1998,Chhattisgarh,Bastar,chickpea,3100,548.39,9.87102,5.4839,9.87102,20,60,6.5,600
1999,Chhattisgarh,Bastar,rice,628470,1075.95,26.89875,12.9114,23.6709,25,80,6.5,1200
1999,Chhattisgarh,Bastar,maize,25000,1864,50.328,22.368,31.688,22,70,6,800
